market,project,price,payment_plan,financing,indexation,promotion,delivery
petah_tikva,THE SPOT,✓,?,?,?,?,?
petah_tikva,רוטשילד 163-165,✓,✓,?,?,✓,?
petah_tikva,זאב ברנדה 22,✓,✓,✓,?,?,H
petah_tikva,שבזי 3-5,✓,?,?,?,✓,?
tel_aviv_yad_eliyahu,TIDHAR בין השדרות,✓,✓,✓,?,✓,?
tel_aviv_yad_eliyahu,RAYK EAST SIDE,✓,?,✓,?,?,✓
tel_aviv_yad_eliyahu,GALIPOLIS,✓,?,?,?,?,?
netanya_kiryat_hasharon,בראשית פמלי — קריית השרון,✓,?,?,?,✓,?
netanya_kiryat_hasharon,גבאי על הפארק,✓,✓,?,?,?,?
netanya_kiryat_hasharon,THE STRIP נתניה,✓,✓,?,✓,✓,?
ashkelon_barnea,חלומות ברנע הירוקה,H,?,?,?,?,✓
ashkelon_barnea,פרץ בוני הנגב בעיר היין,✓,?,?,?,✓,✓
ashkelon_barnea,JADE אשקלון,✓,?,?,?,H,C
