record_type,scope,field,before_known,total,before_pct,after_known,after_pct,delta_known,remaining_unknown
comparable,ALL,internal_area_sqm,13,13,100.0,13,100.0,0,0
comparable,ALL,balcony_area_sqm,4,13,30.8,5,38.5,1,8
comparable,ALL,garden_area_sqm,1,13,7.7,1,7.7,0,12
comparable,ALL,total_outdoor_area_sqm,5,13,38.5,6,46.2,1,7
comparable,ALL,floor,12,13,92.3,12,92.3,0,1
comparable,ALL,number_of_levels,1,13,7.7,1,7.7,0,12
comparable,ALL,parking_present,5,13,38.5,7,53.8,2,6
comparable,ALL,parking_count,2,13,15.4,2,15.4,0,11
comparable,ALL,storage_present,3,13,23.1,4,30.8,1,9
comparable,ALL,storage_area_sqm,0,13,0.0,1,7.7,1,12
comparable,ALL,mamad,4,13,30.8,6,46.2,2,7
comparable,ALL,orientation_count,0,13,0.0,2,15.4,2,11
comparable,ALL,orientation_directions,1,13,7.7,0,0.0,-1,13
comparable,ALL,price_ils,12,13,92.3,12,92.3,0,1
comparable,ALL,observed_date,12,13,92.3,10,76.9,-2,3
comparable,ALL,listing_model_id,13,13,100.0,13,100.0,0,0
comparable,ALL,direct_url,13,13,100.0,13,100.0,0,0
comparable,תל אביב-יפו,internal_area_sqm,4,4,100.0,4,100.0,0,0
comparable,תל אביב-יפו,balcony_area_sqm,2,4,50.0,2,50.0,0,2
comparable,תל אביב-יפו,garden_area_sqm,1,4,25.0,1,25.0,0,3
comparable,תל אביב-יפו,total_outdoor_area_sqm,3,4,75.0,3,75.0,0,1
comparable,תל אביב-יפו,floor,4,4,100.0,4,100.0,0,0
comparable,תל אביב-יפו,number_of_levels,0,4,0.0,0,0.0,0,4
comparable,תל אביב-יפו,parking_present,3,4,75.0,3,75.0,0,1
comparable,תל אביב-יפו,parking_count,0,4,0.0,0,0.0,0,4
comparable,תל אביב-יפו,storage_present,1,4,25.0,1,25.0,0,3
comparable,תל אביב-יפו,storage_area_sqm,0,4,0.0,1,25.0,1,3
comparable,תל אביב-יפו,mamad,2,4,50.0,3,75.0,1,1
comparable,תל אביב-יפו,orientation_count,0,4,0.0,1,25.0,1,3
comparable,תל אביב-יפו,orientation_directions,1,4,25.0,0,0.0,-1,4
comparable,תל אביב-יפו,price_ils,4,4,100.0,4,100.0,0,0
comparable,תל אביב-יפו,observed_date,4,4,100.0,2,50.0,-2,2
comparable,תל אביב-יפו,listing_model_id,4,4,100.0,4,100.0,0,0
comparable,תל אביב-יפו,direct_url,4,4,100.0,4,100.0,0,0
comparable,נתניה,internal_area_sqm,5,5,100.0,5,100.0,0,0
