listing_id,relevant_segments,segment_classification,address,city,raw_neighborhood_label,normalized_submarket,geography_tier,tier_reason,rooms,internal_area,internal_area_raw_values,product_type,floor,number_of_levels,garden_area,balcony_area,outdoor_area,price,price_per_sqm,price_type,parking,storage,orientation,mamad,observed_date,retrieved_at,source_name,source_title,direct_url,source_record_id,lat,lng,coordinate_precision,validation_status,duplicate_group_id,dedupe_status,source_origin,qa_notes,source_url
ash-ask-maalehagat-duplex200,APT36_37;APT38;APT39,APT36_37;APT38;APT39,מעלה הגת,אשקלון,ברנע,ברנע,CORE,Same selected submarket,6,200,,duplex,9,,,,,3200000,16000.0,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים בברנע,Yad2 — דופלקסים בברנע,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7,ash-ask-maalehagat-duplex200,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Current exact-Barnea 6R duplex; direct multi-level product, but smaller than triplex subjects and larger than APT38/39.",https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7
ash-ask-barnea-duplex5r138,APT39,APT39,ברנע,אשקלון,ברנע,ברנע,CORE,Same selected submarket,5,138,,duplex,3,,,,,1840000,13333.33,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים בברנע,Yad2 — דופלקסים בברנע,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7,ash-ask-barnea-duplex5r138,31.68751,34.57109,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,,,R2_PRIMARY,"Current exact-Barnea 5R duplex; same APT39 product/rooms, moderately smaller area.",https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7
ash-ask-zionut-duplex132,APT39,APT39,שדרות הציונות,אשקלון,ברנע,ברנע,CORE,Same selected submarket,4.5,132,,duplex,9,,,,,2150000,16287.88,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים בברנע,Yad2 — דופלקסים בברנע,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7,ash-ask-zionut-duplex132,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,Current exact-Barnea duplex; close scale but 4.5 rooms.,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&neighborhood=471&property=7
ash-ask-blasberg-garden205,APT1_2;APT3,APT1_2;APT3,אברהם בלסברג,אשקלון,ברנע,ברנע,CORE,Same selected submarket,5,205,,garden_apartment,ground,,,,,2490000,12146.34,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דירות גן 5 חדרים בברנע,Yad2 — דירות גן 5 חדרים בברנע,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&maxRooms=5&minRooms=5&neighborhood=471&property=3&propertyGroup=apartments&sort=price-asc,ash-ask-blasberg-garden205,31.68751,34.57109,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,barnea-blasberg-garden-likely-dup-1,LIKELY_REPOST,R2_PRIMARY,Current exact-Barnea garden listing; product direct but room count/size far above small garden subjects.,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&maxRooms=5&minRooms=5&neighborhood=471&property=3&propertyGroup=apartments&sort=price-asc
ash-ask-blasberg-garden210,APT1_2;APT3,APT1_2;APT3,אברהם בלסברג,אשקלון,ברנע,ברנע,CORE,Same selected submarket,5,210,,garden_apartment,ground,,,,,2499000,11900.0,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דירות גן 5 חדרים בברנע,Yad2 — דירות גן 5 חדרים בברנע,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&maxRooms=5&minRooms=5&neighborhood=471&property=3&propertyGroup=apartments&sort=price-asc,ash-ask-blasberg-garden210,31.68751,34.57109,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,barnea-blasberg-garden-likely-dup-1,LIKELY_REPOST,R2_PRIMARY,Near-identical street/area/price to another live observation. Preserved as separate observation and tagged likely repost.,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&maxRooms=5&minRooms=5&neighborhood=471&property=3&propertyGroup=apartments&sort=price-asc
ash-ask-maalehagat32-conflict,APT36_37;APT38;APT39,APT36_37;APT38;APT39,מעלה הגת 32,אשקלון,ברנע,ברנע,CORE,Same selected submarket,6,,220 search/portal; 160 direct-page observation,penthouse,9,,,,,3070000,,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Komo — פנטהאוזים בברנע,Komo — פנטהאוזים בברנע,https://www.komo.co.il/code/nadlan/apartments-for-sale.asp?cityName=%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F&nehes=3&neighborhoodNum=386,ash-ask-maalehagat32-conflict,31.68751,34.57109,NEIGHBORHOOD_CENTROID,CONTEXT_ONLY,,,R2_PRIMARY,Area conflict across current sources (220 m² in search/portal result vs 160 m² built on direct-page observation from earlier pass). Area intentionally nulled; no derived ₪/m².,https://www.komo.co.il/code/nadlan/apartments-for-sale.asp?cityName=%D7%90%D7%A9%D7%A7%D7%9C%D7%95%D7%9F&nehes=3&neighborhoodNum=386
ash-ask-homeless-penthouse170,APT38;APT39;APT36_37,APT38;APT39;APT36_37,שדרות ירושלים / ברנע ב׳,אשקלון,ברנע ב׳,ברנע,CORE,Same selected submarket,6,170,,penthouse,5,1,,105,105,3900000,22941.18,CURRENT_ASKING,2,True,,True,2026-09-11,2026-09-11,Homeless — פנטהאוז 6 חדרים ברנע ב׳,Homeless — פנטהאוז 6 חדרים ברנע ב׳,https://m.homeless.co.il/Saletivuch/viewad%2C366899.aspx,ash-ask-homeless-penthouse170,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Strong special-product listing: 170 m² + two terraces totaling 105 m²; 2 parking; building 2014. Penthouse, not duplex/triplex.",https://m.homeless.co.il/Saletivuch/viewad%2C366899.aspx
ash-ask-mini529103,APT39;APT38,APT39;APT38,ברנע,אשקלון,ברנע,ברנע,CORE,Same selected submarket,5,125,,mini_penthouse,5,,,49,49,2750000,22000.0,CURRENT_ASKING,1,,N/E/S/W,True,2026-09-11,2026-09-11,Real Estate Israel — מיני פנטהאוז 5 חדרים ברנע,Real Estate Israel — מיני פנטהאוז 5 חדרים ברנע,https://www.immobilier.co.il/he/%D7%A2%D7%99%D7%A8/ashkelon/%D7%A0%D7%9B%D7%A1/529-103,ash-ask-mini529103,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"5R mini-penthouse; 125 m² +49 m² terrace, one parking. Smaller than APT39 and not duplex.",https://www.immobilier.co.il/he/%D7%A2%D7%99%D7%A8/ashkelon/%D7%A0%D7%9B%D7%A1/529-103
ash-ask-wine22-penthouse160,APT39;APT38,APT39;APT38,דרך היין 22,אשקלון,ברנע ב׳,ברנע,CORE,Same selected submarket,5,160,160 built + 40 balcony; headline 200 total,penthouse,19,,,40,40,3780000,23625.0,CURRENT_ASKING,3,True,,True,2026-09-11,2026-09-11,ad — דרך היין 22 פנטהאוז,ad — דרך היין 22 פנטהאוז,https://www.ad.co.il/ad/16228309,ash-ask-wine22-penthouse160,31.68751,34.57109,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Near-exact internal scale to APT39; 40 m² balcony and 3 parking, but penthouse rather than duplex. Listing description states 160 built while page headline uses 200 total.",https://www.ad.co.il/ad/16228309
r1-ash-arie-ben-eliezer-3850,APT39,APT39,אריה בן אליעזר,אשקלון,ברנע,ברנע,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,5,202,,duplex,2,,,,,3850000,19059.41,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/south?area=21&property=7,,31.68751,34.57109,NEIGHBORHOOD_CENTROID,CONFLICT,ash-arie-ben-eliezer-5r202,CONFLICT,R1_SUPPLEMENTAL,"R1 conflicting observation; no stable listing ID. Targeted final check found a same-size 5R/202m² Arie Ben Eliezer duplex at a materially different current ask, so this price remains conflict-only.; observed_date equals research retrieval date; source publication date unavailable",https://www.yad2.co.il/realestate/forsale/south?area=21&property=7
r1-ash-arie-ben-eliezer-3000,APT39,APT39,אריה בן אליעזר,אשקלון,ברנע,ברנע,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,5,202,,duplex,2,,,,,3000000,14851.49,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&propertyGroup=apartments&property=7&minRooms=5&maxRooms=5,,31.68751,34.57109,NEIGHBORHOOD_CENTROID,CONFLICT,ash-arie-ben-eliezer-5r202,CONFLICT,R1_SUPPLEMENTAL,"R1 conflicting observation; no stable listing ID. Targeted final check found a same-size 5R/202m² Arie Ben Eliezer duplex at a materially different current ask, so this price remains conflict-only.; observed_date equals research retrieval date; source publication date unavailable",https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&propertyGroup=apartments&property=7&minRooms=5&maxRooms=5
r1-ash-kadesh12-penthouse227-2799,APT39,APT39,שדרות קדש 12,אשקלון,ברנע,ברנע,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,5,227,,penthouse,14,,,,,2799000,12330.4,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&property=6&minRooms=5,,31.68751,34.57109,NEIGHBORHOOD_CENTROID,CONFLICT,ash-kadesh12-5r227,CONFLICT,R1_SUPPLEMENTAL,R1-only large penthouse observation. Targeted final web check did not independently recover this exact 227m² row; preserved only as conflict/context rather than selected evidence.; observed_date equals research retrieval date; source publication date unavailable,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&property=6&minRooms=5
r1-ash-kadesh12-penthouse227-2690,APT39,APT39,שדרות קדש 12,אשקלון,ברנע,ברנע,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,5,227,,penthouse,14,,,,,2690000,11850.22,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&propertyGroup=apartments&property=6&minRooms=5&maxRooms=5,,31.68751,34.57109,NEIGHBORHOOD_CENTROID,CONFLICT,ash-kadesh12-5r227,CONFLICT,R1_SUPPLEMENTAL,"R1-only conflicting large penthouse observation; no stable listing ID. Preserved alongside ₪2.799M observation, never reconciled to one convenient price.; observed_date equals research retrieval date; source publication date unavailable",https://www.yad2.co.il/realestate/forsale/south?area=21&city=7100&propertyGroup=apartments&property=6&minRooms=5&maxRooms=5
