city,normalized_submarket,project_id,project_name,geography_tier,rooms,unit_type,internal_area_sqm,balcony_area_sqm,garden_area_sqm,floor,floors,orientation,parking,storage,mamad,price_ils,price_type,observed_date,source_url,applicable_segments,quantitative_unit_price_area,notes,retrieved_at,source_type,verification_status
תל אביב-יפו,יד אליהו,ta-tidhar-between,TIDHAR בין השדרות,CORE,3,standard_apartment,71,,,,,,,,,3700000,VERIFIED_UNIT_PRICE,,https://www.yad2.co.il/yad1/project/16499,,true,,,,
תל אביב-יפו,יד אליהו,ta-tidhar-between,TIDHAR בין השדרות,CORE,5,standard_apartment,105,,,,,,,,,4758000,VERIFIED_UNIT_PRICE,,https://www.yad2.co.il/yad1/project/16499,,true,,,,
תל אביב-יפו,יד אליהו,ta-galipolis,GALIPOLIS,CORE,3,standard_apartment,73,,,,,,,,,3215000,STARTING_PRICE,,https://almog-ltd.com/project/galipoliz/,,false,Campaign price is “from ₪3.215M”; no retained durable exact 73 m² model-price join. Context only.,2026-09-12,,STARTING_PRICE_CONTEXT_ONLY
תל אביב-יפו,יד אליהו,ta-rayk-east-side,RAYK EAST SIDE,CORE,2,garden_apartment,,,,,,,,,,2900000,STARTING_PRICE,,https://rayklocations.raykgroup.com/east/,APT1_2;APT3,false,Starting-price context; area not published for same model.,,,
תל אביב-יפו,יד אליהו,ta-rayk-east-side,RAYK EAST SIDE,CORE,5-7,large_apartment,145-185,,,,,,,,,,CONTEXT_ONLY,,https://rayklocations.raykgroup.com/east/,APT36_37;APT38;APT39,false,Price semantics normalized to CONTEXT_ONLY in freeze pass; no quantitative promotion.,,,
תל אביב-יפו,יד אליהו,ta-rayk-east-side,RAYK EAST SIDE,CORE,5,standard_apartment,151,,,,,,,,,4890000,STARTING_PRICE,,https://www.yad2.co.il/yad1/project/16277,,false,Targeted R1 reconciliation corrected semantics: Yad2 lists a 5R 151m² apartment from ₪4.89M. It is not proven to be a garden unit and STARTING_PRICE is context-only.,,,
תל אביב-יפו,יד אליהו,ta-family-groove,FAMILY GROOVE TLV — נגבה 21-27,CORE,3,garden_apartment,107,,,,,,,,,3116610,CURRENT_ASKING,2026-09-11,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=3,APT1_2;APT3,false,,,,
נתניה,קריית השרון,net-bereshit-family,בראשית פמלי — קריית השרון,CORE,3,garden_apartment,,,,ground,,,,,,2490000,STARTING_PRICE,2026-09-11,https://www.yad2.co.il/yad1/project/13271,APT1_2;APT3,false,Current crawl; area not published for same model.,,,
נתניה,קריית השרון,net-bereshit-family,בראשית פמלי — קריית השרון,CORE,3,garden_apartment,,,,ground,,,,,,2550000,HISTORICAL_MARKETING_PRICE,,https://www.yad2.co.il/yad1/project/13271,APT1_2;APT3,false,Older Yad2 crawl preserved rather than silently replaced.,,,
נתניה,קריית השרון,net-ashdar-country,אשדר וקאנטרי,CORE,,penthouse,155,96,,,,,,,,2100000,CONTEXT_ONLY,,https://www.makorrishon.co.il/nrg/online/16/ART1/931/506.html,APT36_37;APT38;APT39,false,"Historical press-reported completed sale; explicit price+area preserved as context, not classified as a marketing/unit-offer price. Price semantics normalized to CONTEXT_ONLY in freeze pass; no quantitative promotion.",,,
