record_type,city,field,before_known,before_total,before_pct,after_known,after_total,after_pct,delta_known,delta_pct_points,remaining_unknown
projects,ALL,developer_company,30,31,96.8,31,32,96.9,1,0.1,1
projects,ALL,development_company,30,31,96.8,31,32,96.9,1,0.1,1
projects,ALL,contractor_company,5,31,16.1,6,32,18.8,1,2.6,26
projects,ALL,marketing_company,0,31,0.0,0,32,0.0,0,0.0,32
projects,ALL,architect,9,31,29.0,9,32,28.1,0,-0.9,23
projects,ALL,financing_bank,0,31,0.0,0,32,0.0,0,0.0,32
projects,ALL,address,18,31,58.1,21,32,65.6,3,7.6,11
projects,ALL,street,17,31,54.8,20,32,62.5,3,7.7,12
projects,ALL,street_number,14,31,45.2,17,32,53.1,3,8.0,15
projects,ALL,latitude,6,31,19.4,6,32,18.8,0,-0.6,26
projects,ALL,longitude,6,31,19.4,6,32,18.8,0,-0.6,26
projects,ALL,project_status,31,31,100.0,32,32,100.0,1,0.0,0
projects,ALL,permit_status,1,31,3.2,2,32,6.2,1,3.0,30
projects,ALL,construction_status,5,31,16.1,6,32,18.8,1,2.6,26
projects,ALL,estimated_delivery,3,31,9.7,4,32,12.5,1,2.8,28
projects,ALL,number_of_buildings,16,31,51.6,19,32,59.4,3,7.8,13
projects,ALL,number_of_floors,14,31,45.2,17,32,53.1,3,8.0,15
projects,ALL,number_of_units,16,31,51.6,18,32,56.2,2,4.6,14
projects,ALL,apartments_per_floor,0,31,0.0,0,32,0.0,0,0.0,32
projects,ALL,number_of_elevators,0,31,0.0,0,32,0.0,0,0.0,32
projects,ALL,room_range,16,31,51.6,17,32,53.1,1,1.5,15
projects,ALL,area_range_sqm,3,31,9.7,4,32,12.5,1,2.8,28
projects,ALL,parking,7,31,22.6,7,32,21.9,0,-0.7,25
projects,ALL,storage,2,31,6.5,2,32,6.2,0,-0.2,30
projects,ALL,mamad,2,31,6.5,3,32,9.4,1,2.9,29
projects,ALL,balcony,6,31,19.4,7,32,21.9,1,2.5,25
projects,ALL,garden,10,31,32.3,10,32,31.2,0,-1.0,22
projects,ALL,payment_terms,2,31,6.5,3,32,9.4,1,2.9,29
projects,ALL,promotions,8,31,25.8,14,32,43.8,6,17.9,18
projects,ALL,product_types,31,31,100.0,32,32,100.0,1,0.0,0
projects,ALL,known_unit_variants,10,31,32.3,14,32,43.8,4,11.5,18
projects,אשקלון,developer_company,11,12,91.7,12,13,92.3,1,0.6,1
projects,אשקלון,development_company,11,12,91.7,12,13,92.3,1,0.6,1
projects,אשקלון,contractor_company,1,12,8.3,2,13,15.4,1,7.1,11
projects,אשקלון,marketing_company,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,architect,1,12,8.3,1,13,7.7,0,-0.6,12
projects,אשקלון,financing_bank,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,address,7,12,58.3,9,13,69.2,2,10.9,4
projects,אשקלון,street,7,12,58.3,9,13,69.2,2,10.9,4
projects,אשקלון,street_number,7,12,58.3,9,13,69.2,2,10.9,4
projects,אשקלון,latitude,6,12,50.0,6,13,46.2,0,-3.8,7
projects,אשקלון,longitude,6,12,50.0,6,13,46.2,0,-3.8,7
projects,אשקלון,project_status,12,12,100.0,13,13,100.0,1,0.0,0
projects,אשקלון,permit_status,0,12,0.0,1,13,7.7,1,7.7,12
projects,אשקלון,construction_status,0,12,0.0,1,13,7.7,1,7.7,12
projects,אשקלון,estimated_delivery,1,12,8.3,1,13,7.7,0,-0.6,12
projects,אשקלון,number_of_buildings,4,12,33.3,6,13,46.2,2,12.8,7
projects,אשקלון,number_of_floors,1,12,8.3,3,13,23.1,2,14.7,10
projects,אשקלון,number_of_units,3,12,25.0,4,13,30.8,1,5.8,9
projects,אשקלון,apartments_per_floor,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,number_of_elevators,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,room_range,6,12,50.0,7,13,53.8,1,3.8,6
projects,אשקלון,area_range_sqm,1,12,8.3,2,13,15.4,1,7.1,11
projects,אשקלון,parking,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,storage,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,mamad,0,12,0.0,1,13,7.7,1,7.7,12
projects,אשקלון,balcony,1,12,8.3,2,13,15.4,1,7.1,11
projects,אשקלון,garden,3,12,25.0,3,13,23.1,0,-1.9,10
projects,אשקלון,payment_terms,0,12,0.0,0,13,0.0,0,0.0,13
projects,אשקלון,promotions,4,12,33.3,7,13,53.8,3,20.5,6
projects,אשקלון,product_types,12,12,100.0,13,13,100.0,1,0.0,0
projects,אשקלון,known_unit_variants,2,12,16.7,5,13,38.5,3,21.8,8
projects,נתניה,developer_company,9,9,100.0,9,9,100.0,0,0.0,0
projects,נתניה,development_company,9,9,100.0,9,9,100.0,0,0.0,0
projects,נתניה,contractor_company,3,9,33.3,3,9,33.3,0,0.0,6
projects,נתניה,marketing_company,0,9,0.0,0,9,0.0,0,0.0,9
projects,נתניה,architect,2,9,22.2,2,9,22.2,0,0.0,7
