record_type,city,record_id,field,baseline_value,priority,status
project,תל אביב-יפו,ta-tidhar-between,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,architect,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,number_of_buildings,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,number_of_floors,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,number_of_units,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-tidhar-between,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,address,,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,street,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-galipolis,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,architect,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,address,,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,street,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,number_of_floors,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,number_of_units,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-rayk-east-side,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,architect,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,room_range,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,parking,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,balcony,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,garden,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-yagur,known_unit_variants,[],HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,street_number,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,construction_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,number_of_buildings,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,number_of_floors,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,number_of_units,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,area_range_sqm,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,storage,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,mamad,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,payment_terms,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-family-groove,promotions,[],NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,contractor_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,marketing_company,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,financing_bank,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,latitude,32.05899,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,longitude,34.79285,HIGH,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,permit_status,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,estimated_delivery,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,number_of_buildings,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,apartments_per_floor,,NORMAL,MISSING_BEFORE_V2
project,תל אביב-יפו,ta-negba26,number_of_elevators,,NORMAL,MISSING_BEFORE_V2
