listing_id,relevant_segments,segment_classification,address,city,raw_neighborhood_label,normalized_submarket,geography_tier,tier_reason,rooms,internal_area,internal_area_raw_values,product_type,floor,number_of_levels,garden_area,balcony_area,outdoor_area,price,price_per_sqm,price_type,parking,storage,orientation,mamad,observed_date,retrieved_at,source_name,source_title,direct_url,source_record_id,lat,lng,coordinate_precision,validation_status,duplicate_group_id,dedupe_status,source_origin,qa_notes,source_url
net-ask-dekel-duplex160,APT38;APT39;APT36_37,APT38;APT39;APT36_37,הדקל,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,6,160,,duplex,11,,,,,5250000,32812.5,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים בקריית השרון,Yad2 — דופלקסים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=7,net-ask-dekel-duplex160,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,net-dekel-6r160,CONFLICT,R2_PRIMARY,"Direct duplex typology and close scale to APT38/39; too small for 255–260 m² triplex subjects. R1 preserved two older/conflicting 160m² observations (₪3.85M/₪4.29M); no listing IDs prove identity, so all prices remain separate.",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=7
net-ask-park-duplex140,APT39,APT39,דרך הפארק,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,4,140,,duplex,6,,,,,3150000,22500.0,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים בקריית השרון,Yad2 — דופלקסים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=7,net-ask-park-duplex140,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Direct duplex typology, fewer rooms and somewhat smaller than APT39.",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=7
net-ask-triplex158,APT36_37;APT38;APT39,APT36_37;APT38;APT39,קריית השרון / נתניה,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,6,158,,triplex,3,,,,,,,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — 6 חדרים בקריית השרון,Yad2 — 6 חדרים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&maxRooms=6&minRooms=6&neighborhood=341,net-ask-triplex158,32.30321,34.87567,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,,,R2_PRIMARY,"Rare live triplex typology surfaced in Kiryat Hasharon/Netanya results, but no asking price exposed and far smaller than APT36_37. Retained for product coverage only.",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&maxRooms=6&minRooms=6&neighborhood=341
net-ask-hartom-penthouse229,APT36_37;APT38;APT39,APT36_37;APT38;APT39,הרטום,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,6,229,,penthouse,9,,,,,3890000,16986.9,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים בקריית השרון,Yad2 — פנטהאוזים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc,net-ask-hartom-penthouse229,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Large 6R penthouse near triplex subject scale, but single-level/top-floor product.",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc
net-ask-moran-penthouse180,APT38;APT39,APT38;APT39,המורן,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,6,180,,penthouse,1,,,,,4850000,26944.44,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים בקריית השרון,Yad2 — פנטהאוזים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc,net-ask-moran-penthouse180,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,Close size to APT38/39; penthouse rather than duplex.,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc
net-ask-shvat4-penthouse255,APT36_37,APT36_37,שבט 4,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,5,255,,penthouse,8,,,,,4850000,19019.61,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים בקריית השרון,Yad2 — פנטהאוזים בקריית השרון,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc,net-ask-shvat4-penthouse255,32.30321,34.87567,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Exceptionally close internal scale to APT36_37, but 5R penthouse rather than 6R triplex.",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&property=6&sort=price-asc
net-archive-park9-garden-duplex150,APT1_2;APT3;APT39,APT1_2;APT3;APT39,דרך הפארק 9,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,5,150,,garden_duplex,ground,,,,,2900000,19333.33,HISTORICAL_MARKETING_PRICE,True,,,True,,2026-09-11,ad — ארכיון דירות גן קריית השרון,ad — ארכיון דירות גן קריית השרון,https://www.ad.co.il/archive/nadlansale?pageindex=4&sp1=82&sp3=182&sp4=1375&view=list,net-archive-park9-garden-duplex150,32.30321,34.87567,NEIGHBORHOOD_CENTROID,CONTEXT_ONLY,net-park-garden150,CONFLICT,R2_PRIMARY,"Archived exact-submarket garden-duplex; useful special-product context, not current evidence. R1 also observed a 5R/150m² Derech HaPark garden ask at ₪4.12M; identity is unresolved, so both are preserved as conflicting observations. Semantic freeze correction: archive-source observation; excluded from CURRENT_ASKING counts; publication date unknown, observed_date=null.",https://www.ad.co.il/archive/nadlansale?pageindex=4&sp1=82&sp3=182&sp4=1375&view=list
net-archive-hanofar-garden120,APT1_2;APT3,APT1_2;APT3,הנופר,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket,5,120,,garden_apartment,ground,,,,,2470000,20583.33,HISTORICAL_MARKETING_PRICE,,,,,,2026-09-11,ad — ארכיון דירות גן קריית השרון,ad — ארכיון דירות גן קריית השרון,https://www.ad.co.il/archive/nadlansale?pageindex=4&sp1=82&sp3=182&sp4=1375&view=list,net-archive-hanofar-garden120,32.30321,34.87567,NEIGHBORHOOD_CENTROID,CONTEXT_ONLY,,,R2_PRIMARY,"Archived exact-submarket garden listing; much larger/five-room product. Semantic freeze correction: archive-source observation; excluded from CURRENT_ASKING counts; publication date unknown, observed_date=null.",https://www.ad.co.il/archive/nadlansale?pageindex=4&sp1=82&sp3=182&sp4=1375&view=list
r1-net-dekel-6r160-4290,APT39,APT39,הדקל,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,6,160,,duplex,,,,30,,4290000,26812.5,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/center-and-sharon?propertyGroup=misc&minRooms=6&maxRooms=6&page=66,,32.30321,34.87567,NEIGHBORHOOD_CENTROID,CONFLICT,net-dekel-6r160,CONFLICT,R1_SUPPLEMENTAL,"R1 observation preserved as historical/conflicting evidence. Possible same property as R2 6R/160m²/₪5.25M; no stable listing ID, so prices are not reconciled.; observed_date equals research retrieval date; source publication date unavailable",https://www.yad2.co.il/realestate/forsale/center-and-sharon?propertyGroup=misc&minRooms=6&maxRooms=6&page=66
r1-net-dekel-6r160-3850,APT39,APT39,הדקל,נתניה,קריית השרון,קריית השרון,CORE,Same selected submarket; imported only as supplemental R1 evidence after final reconciliation check.,6,160,,duplex,11,,,,,3850000,24062.5,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,R1 supplemental snapshot,R1 supplemental snapshot,https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&minRooms=4.5&page=2,,32.30321,34.87567,NEIGHBORHOOD_CENTROID,CONFLICT,net-dekel-6r160,CONFLICT,R1_SUPPLEMENTAL,"R1 observation preserved as historical/conflicting evidence. Possible same property as R2 6R/160m²/₪5.25M; no stable listing ID, so prices are not reconciled.; observed_date equals research retrieval date; source publication date unavailable",https://www.yad2.co.il/realestate/forsale/center-and-sharon?area=17&city=7400&neighborhood=341&minRooms=4.5&page=2
