city,segment,direct_sold,broadened_sold,product_type_unverified_sold_context,current_asking_observations,historical_asking_context,direct_typology_current_asking,competitor_unit_variants,gap
תל אביב-יפו,APT1_2,0,1,0,2,0,1,5,DIRECT_SOLD_MISSING
תל אביב-יפו,APT3,0,2,0,1,1,0,5,DIRECT_SOLD_MISSING
תל אביב-יפו,APT36_37,0,0,0,2,0,1,1,DIRECT_SOLD_MISSING
תל אביב-יפו,APT38,0,1,0,5,0,2,3,DIRECT_SOLD_MISSING
תל אביב-יפו,APT39,0,1,0,7,0,2,3,DIRECT_SOLD_MISSING
נתניה,APT1_2,0,0,0,0,2,0,2,DIRECT_SOLD_MISSING;CURRENT_ASKING_MISSING
נתניה,APT3,0,0,0,0,2,0,2,DIRECT_SOLD_MISSING;CURRENT_ASKING_MISSING
נתניה,APT36_37,0,0,0,6,1,1,3,DIRECT_SOLD_MISSING
נתניה,APT38,0,0,1,7,1,1,3,DIRECT_SOLD_MISSING
נתניה,APT39,0,0,1,12,2,1,3,DIRECT_SOLD_MISSING
אשקלון,APT1_2,0,2,0,3,0,0,2,DIRECT_SOLD_MISSING
אשקלון,APT3,0,2,0,3,0,0,2,DIRECT_SOLD_MISSING
אשקלון,APT36_37,0,0,0,2,0,0,5,DIRECT_SOLD_MISSING
אשקלון,APT38,0,0,0,4,1,0,5,DIRECT_SOLD_MISSING
אשקלון,APT39,0,0,0,10,1,0,5,DIRECT_SOLD_MISSING
