listing_id,relevant_segments,segment_classification,address,city,raw_neighborhood_label,normalized_submarket,geography_tier,tier_reason,rooms,internal_area,internal_area_raw_values,product_type,floor,number_of_levels,garden_area,balcony_area,outdoor_area,price,price_per_sqm,price_type,parking,storage,orientation,mamad,observed_date,retrieved_at,source_name,source_title,direct_url,source_record_id,lat,lng,coordinate_precision,validation_status,duplicate_group_id,dedupe_status,source_origin,qa_notes,source_url
ta-ask-laguardia-garden-68,APT1_2,APT1_2,לה גווארדיה,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,3,68,,garden_apartment,ground,,,,,2650000,38970.59,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דירות גן ברחוב לה גווארדיה,Yad2 — דירות גן ברחוב לה גווארדיה,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&property=3&street=2648,ta-ask-laguardia-garden-68,32.05899,34.79285,NEIGHBORHOOD_CENTROID,DIRECT,,,R2_PRIMARY,Best current direct garden comparable found: exact 3R product and area inside both APT1_2 subject sizes.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&property=3&street=2648
ta-ask-taoz3-garden-175,APT1_2,APT1_2,סמטת תעוז 3,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,3,175,,garden_apartment,1,,,,,3850000,22000.0,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דירות גן בסמטת תעוז,Yad2 — דירות גן בסמטת תעוז,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&property=3&street=2615,ta-ask-taoz3-garden-175,32.05899,34.79285,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,,,R2_PRIMARY,Exact room/product class but much larger gross advertised area than APT1_2.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&property=3&street=2615
ta-ask-yadeliyahu-2r-garden90,APT3,APT3,יד אליהו,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,2,90,,garden_apartment,ground,,,,,3090000,34333.33,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דירות 2 חדרים ביד אליהו,Yad2 — דירות 2 חדרים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&maxRooms=2&minRooms=2&neighborhood=206&propertyGroup=apartments,ta-ask-yadeliyahu-2r-garden90,32.05899,34.79285,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,,,R2_PRIMARY,Exact 2R garden typology but substantially larger than the 57 m² APT3 subject.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&maxRooms=2&minRooms=2&neighborhood=206&propertyGroup=apartments
ta-archive-yiftach4-garden57,APT3,APT3,יפתח 4,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,2.5,57,,garden_apartment,ground,,52,,52,2860000,50175.44,HISTORICAL_MARKETING_PRICE,True,True,,True,,2026-09-11,ad — ארכיון דירות גן תל אביב,ad — ארכיון דירות גן תל אביב,https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1,ta-archive-yiftach4-garden57,32.05899,34.79285,NEIGHBORHOOD_CENTROID,CONTEXT_ONLY,,,R2_PRIMARY,"Archived listing, not treated as current. Exceptionally close geometry: 57 m² internal + 52 m² private garden; 2.5 rooms rather than 2. Semantic freeze correction: archived marketing/listing observation; excluded from CURRENT_ASKING counts. Publication date not established, so observed_date is null.",https://www.ad.co.il/archive/nadlansale?props=18-18&rp5=2.5%2C2.5&sp2=61&sp3=62&view=list&withimage=1
ta-ask-moshe-dayan-duplex180,APT39,APT39,דרך משה דיין,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,5,180,,duplex,5,,,,,5200000,28888.89,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים ביד אליהו,Yad2 — דופלקסים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=7,ta-ask-moshe-dayan-duplex180,32.05899,34.79285,NEIGHBORHOOD_CENTROID,SIZE_RELAXED,,,R2_PRIMARY,Exact 5R duplex typology; about 13% larger than APT39 internal area.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=7
ta-ask-margolin29-duplex93,APT39,APT39,מרגולין 29,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,4,93,,duplex,3,,,,,2990000,32150.54,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — דופלקסים ביד אליהו,Yad2 — דופלקסים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=7,ta-ask-margolin29-duplex93,32.05899,34.79285,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,Exact duplex product but fewer rooms and much smaller than APT39; contextual lower-scale alternative.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=7
ta-ask-new-5r-penthouse180,APT39;APT38,APT39;APT38,יד אליהו,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,5,180,,penthouse,7,,,,,5558100,30878.33,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים ביד אליהו,Yad2 — פנטהאוזים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc,ta-ask-new-5r-penthouse180,32.05899,34.79285,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,New-contractor penthouse; close internal scale to APT38/APT39 but not duplex.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc
ta-ask-gibor5r-penthouse198,APT38;APT39;APT36_37,APT38;APT39;APT36_37,הגיבור האלמוני,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,5,198,,penthouse,7,,,,,5490000,27727.27,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים ביד אליהו,Yad2 — פנטהאוזים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc,ta-ask-gibor5r-penthouse198,32.05899,34.79285,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,Large premium top-floor product; not duplex/triplex.,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc
ta-ask-yiftach6-penthouse166,APT38;APT39,APT38;APT39,יפתח 6,תל אביב-יפו,יד אליהו,יד אליהו,CORE,Same selected submarket,4,166,,penthouse,8,,,,,5030000,30301.2,CURRENT_ASKING,,,,,2026-09-11,2026-09-11,Yad2 — פנטהאוזים ביד אליהו,Yad2 — פנטהאוזים ביד אליהו,https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc,ta-ask-yiftach6-penthouse166,32.05899,34.79285,NEIGHBORHOOD_CENTROID,PRODUCT_BROADENED,,,R2_PRIMARY,"Very close internal area to APT38/39, but 4R penthouse rather than duplex.",https://www.yad2.co.il/realestate/forsale/tel-aviv-area?area=1&city=5000&neighborhood=206&property=6&sort=price-asc
ta-v2-anglo-3418,APT39;APT38,DIRECT_TYPOLOGY_SIZE_RELAXED,"יד אליהו, תל אביב-יפו (exact street not exposed in search result)",תל אביב-יפו,יד אליהו,יד אליהו,CORE,Exact target neighborhood,5,150,,duplex,6/6,,,70,70,2200000,14666.67,CURRENT_ASKING,true,,,true,2026-09-12,2026-09-12,Anglo-Saxon,Duplex for sale — listing 3418,https://www.anglo-saxon.co.il/properties/single/?id=3418,3418,32.05899,34.79285,NEIGHBORHOOD_CENTROID,DIRECT_LISTING_PRODUCT_VERIFIED,,UNIQUE_OBSERVATION,v2_targeted_enrichment,"Direct page reports duplex, 150 m², floor 6/6, ~70 m² balconies, parking, mamad. Exact address coordinate not recovered; centroid is explicitly labeled.",https://www.anglo-saxon.co.il/properties/single/?id=3418
