city,selected_submarket,geography_tier,neighborhood,address,event_date,rooms,area_sqm,price_ils,floor,parcel_subparcel,group_key,source,source_reference,source_id,source_url,retrieved_at,status,qa_note,alternate_observation,record_uid,source_title,source_date,durable_source_id,legacy_source_reference,provenance_status,latitude,longitude,coordinate_precision,coordinate_source_url,pricing_scope_neighborhood
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,עמק איילון 24,2026-06-28,3,70,3139000,,,עמק איילון 24,WizBid / Tax-derived,עמק איילון24-20260628,עמק איילון24-20260628,,2026-09-11,accepted,,,sold-ad52c2c503f1d4cc,Completed-sale transaction record — עמק איילון 24,2026-06-28,עמק איילון24-20260628,turn853970search1,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,עמק איילון 24,2026-05-26,3,70,3299000,,,עמק איילון 24,WizBid / Tax-derived,עמק איילון24-20260526,עמק איילון24-20260526,,2026-09-11,accepted,,,sold-11a76b55f939f44e,Completed-sale transaction record — עמק איילון 24,2026-05-26,עמק איילון24-20260526,turn853970search1,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,עמק איילון 24,2026-05-20,3,71,2979000,,,עמק איילון 24,WizBid / Tax-derived,עמק איילון24-20260520,עמק איילון24-20260520,,2026-09-11,accepted,,,sold-28e5c6c30fd7e360,Completed-sale transaction record — עמק איילון 24,2026-05-20,עמק איילון24-20260520,turn853970search1,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,יד לבנים 23,2026-06-11,3,64,2460000,,,יד לבנים 23,WizBid / Tax-derived,ידלבנים23-20260611,ידלבנים23-20260611,,2026-09-11,accepted,,,sold-b285f85f5987800f,Completed-sale transaction record — יד לבנים 23,2026-06-11,ידלבנים23-20260611,turn159536search3,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,יד לבנים 23,2026-02-10,3,65,2440000,,,יד לבנים 23,WizBid / Tax-derived,ידלבנים23-20260210,ידלבנים23-20260210,,2026-09-11,accepted,,,sold-982ca860d56d85b2,Completed-sale transaction record — יד לבנים 23,2026-02-10,ידלבנים23-20260210,turn159536search3,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,יד לבנים 23,2025-07-20,3,67,2450000,,,יד לבנים 23,WizBid / Tax-derived,ידלבנים23-20250720,ידלבנים23-20250720,,2026-09-11,accepted,,,sold-be70ee6244a425f1,Completed-sale transaction record — יד לבנים 23,2025-07-20,ידלבנים23-20250720,turn159536search3,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,יד לבנים 23,2025-04-08,3,65,2410000,,,יד לבנים 23,WizBid / Tax-derived,ידלבנים23-20250408,ידלבנים23-20250408,,2026-09-11,accepted,,,sold-d2eac1ba5186d058,Completed-sale transaction record — יד לבנים 23,2025-04-08,ידלבנים23-20250408,turn159536search3,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,לוחמי גליפולי 19,2026-01-21,3,69,3000000,,,לוחמי גליפולי 19,WizBid / Tax-derived,גליפולי19-20260121,גליפולי19-20260121,,2026-09-11,accepted,,,sold-3ef7bac09265c83c,Completed-sale transaction record — לוחמי גליפולי 19,2026-01-21,גליפולי19-20260121,turn159536search10,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,לוחמי גליפולי 19,2025-11-13,3,69,2560000,,,לוחמי גליפולי 19,WizBid / Tax-derived,גליפולי19-20251113,גליפולי19-20251113,,2026-09-11,accepted,,,sold-bff60b55f13ba6ed,Completed-sale transaction record — לוחמי גליפולי 19,2025-11-13,גליפולי19-20251113,turn159536search10,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
תל אביב-יפו,יד אליהו,tier_1,יד אליהו,לוחמי גליפולי 19,2025-08-04,3,69,2458000,,,לוחמי גליפולי 19,prior-pass Tax-derived row,גליפולי19-20250804,גליפולי19-20250804,,2026-09-11,accepted,,,sold-79c6c16d18d402bf,Completed-sale transaction record — לוחמי גליפולי 19,2025-08-04,גליפולי19-20250804,,durable_source_id_no_stable_url,32.05899000,34.79285000,submarket_centroid_fallback,https://mapcarta.com/W819219043,יד אליהו
