source_class,file,record_index,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,description,raw_preview
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,0,small_area_45_80,,2026-08-11,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,77.0,,,,דירה בבית קומות,,,11700.0,,,,"{""dedupeKey"": ""1196-79-15:2026-08-11:900927"", ""dealDate"": ""2026-08-11"", ""dealAmount"": ""900927"", ""pricePerSqm"": ""11700"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""area"": ""77"", ""yearBuilt"": ""2029"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""15"", ""parcelNum"": ""1196-79-15"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,2,small_area_45_80,,2026-08-09,אשקלון,,,,3.0,80.0,,,,דירה בבית קומות,,,17750.0,,,,"{""dedupeKey"": ""1201-37-0:2026-08-09:1420000"", ""dealDate"": ""2026-08-09"", ""dealAmount"": ""1420000"", ""pricePerSqm"": ""17750"", ""cityName"": ""אשקלון"", ""rooms"": ""3"", ""area"": ""80"", ""yearBuilt"": ""2019"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1201"", ""helka"": ""37"", ""parcelNum"": ""1201-37-0"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,3,small_area_45_80,,2026-08-06,אשקלון,ז'בוטינסקי,גדוד הפורצים 6,,3.0,58.0,,,,דירה בבית קומות,,,15517.0,,,,"{""dedupeKey"": ""1998-24-5:2026-08-06:900000"", ""dealDate"": ""2026-08-06"", ""dealAmount"": ""900000"", ""pricePerSqm"": ""15517"", ""address"": ""גדוד הפורצים 6"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""ז'בוטינסקי"", ""rooms"": ""3"", ""area"": ""58"", ""yearBuilt"": ""1970"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1998"", ""helka"": ""24"", ""tatHelka"": ""5"", ""parcelNum"": ""1998-24-5"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,4,small_area_45_80,,2026-08-04,אשקלון,,,,3.0,52.0,,,,דירה בבית קומות,,,29038.0,,,,"{""dedupeKey"": ""1940-72-0:2026-08-04:1510000"", ""dealDate"": ""2026-08-04"", ""dealAmount"": ""1510000"", ""pricePerSqm"": ""29038"", ""cityName"": ""אשקלון"", ""rooms"": ""3"", ""area"": ""52"", ""yearBuilt"": ""2007"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1940"", ""helka"": ""72"", ""parcelNum"": ""1940-72-0"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,5,small_area_45_80,,2026-08-03,אשקלון,מצפה ברנע,"אצ""ל 39",,3.0,76.0,,,9.0,דירה בבית קומות,,,18421.0,,,,"{""dedupeKey"": ""2556-11-10:2026-08-03:1400000"", ""dealDate"": ""2026-08-03"", ""dealAmount"": ""1400000"", ""pricePerSqm"": ""18421"", ""address"": ""אצ\""ל 39"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""מצפה ברנע"", ""rooms"": ""3"", ""buildingFloors"": ""9"", ""area"": ""76"", ""yearBuilt"": ""2002"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2556"", ""helka"": ""11"", ""tatHelka"": ""10"", ""parcelNum"": ""2556-11-10"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,6,small_area_45_80,,2026-07-30,אשקלון,שקמים,יוספטל 13,,3.0,67.0,,,,דירה בבית קומות,,,14179.0,,,,"{""dedupeKey"": ""1996-51-0:2026-07-30:950000"", ""dealDate"": ""2026-07-30"", ""dealAmount"": ""950000"", ""pricePerSqm"": ""14179"", ""address"": ""יוספטל 13"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""שקמים"", ""rooms"": ""3"", ""area"": ""67"", ""yearBuilt"": ""1980"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1996"", ""helka"": ""51"", ""parcelNum"": ""1996-51-0"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,7,small_area_45_80,,2026-07-30,אשקלון,,שפיה 17,,3.0,75.0,,,3.0,דירה בבית קומות,,,20400.0,,,,"{""dedupeKey"": ""369-67-31:2026-07-30:1530000"", ""dealDate"": ""2026-07-30"", ""dealAmount"": ""1530000"", ""pricePerSqm"": ""20400"", ""address"": ""שפיה 17"", ""cityName"": ""אשקלון"", ""rooms"": ""3"", ""buildingFloors"": ""3"", ""area"": ""75"", ""yearBuilt"": ""2024"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""369"", ""helka"": ""67"", ""tatHelka"": ""31"", ""parcelNum"": ""369-67-31"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,8,small_area_45_80,,2026-07-30,אשקלון,בן גוריון,יהודה הלוי 32,,3.0,68.0,,,,דירה בבית קומות,,,17132.0,,,,"{""dedupeKey"": ""1962-144-28:2026-07-30:1165000"", ""dealDate"": ""2026-07-30"", ""dealAmount"": ""1165000"", ""pricePerSqm"": ""17132"", ""address"": ""יהודה הלוי 32"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""בן גוריון"", ""rooms"": ""3"", ""area"": ""68"", ""yearBuilt"": ""1999"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1962"", ""helka"": ""144"", ""tatHelka"": ""28"", ""parcelNum"": ""1962-144-28"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,9,small_area_45_80,,2026-07-28,אשקלון,,,,3.0,51.0,,,,דירה בבית קומות,,,23624.0,,,,"{""dedupeKey"": ""2528-24-0:2026-07-28:1204813"", ""dealDate"": ""2026-07-28"", ""dealAmount"": ""1204813"", ""pricePerSqm"": ""23624"", ""cityName"": ""אשקלון"", ""rooms"": ""3"", ""area"": ""51"", ""yearBuilt"": ""1998"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""2528"", ""helka"": ""24"", ""parcelNum"": ""2528-24-0"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,12,small_area_45_80,,2026-07-26,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,78.0,,,,דירה בבית קומות,,,11308.0,,,,"{""dedupeKey"": ""1196-79-10:2026-07-26:881988"", ""dealDate"": ""2026-07-26"", ""dealAmount"": ""881988"", ""pricePerSqm"": ""11308"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""area"": ""78"", ""yearBuilt"": ""2029"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""10"", ""parcelNum"": ""1196-79-10"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,14,small_area_45_80,,2026-07-23,אשקלון,מתחם מ-7,דרך ארץ 12,,3.0,80.0,,,15.0,דירה בבית קומות,,,11254.0,,,,"{""dedupeKey"": ""1199-66-43:2026-07-23:900359"", ""dealDate"": ""2026-07-23"", ""dealAmount"": ""900359"", ""pricePerSqm"": ""11254"", ""address"": ""דרך ארץ 12"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""מתחם מ-7"", ""rooms"": ""3"", ""buildingFloors"": ""15"", ""area"": ""80"", ""yearBuilt"": ""2029"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1199"", ""helka"": ""66"", ""tatHelka"": ""43"", ""parcelNum"": ""1199-66-43"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,15,small_area_45_80,,2026-07-21,אשקלון,שקמים,אפרים צור 5,,3.0,50.0,,,,דירה בבית קומות,,,10800.0,,,,"{""dedupeKey"": ""1965-98-24:2026-07-21:540000"", ""dealDate"": ""2026-07-21"", ""dealAmount"": ""540000"", ""pricePerSqm"": ""10800"", ""address"": ""אפרים צור 5"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""שקמים"", ""rooms"": ""3"", ""area"": ""50"", ""yearBuilt"": ""1960"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1965"", ""helka"": ""98"", ""tatHelka"": ""24"", ""parcelNum"": ""1965-98-24"", ""scrapedAt"": ""2026-09-05T16:18:44.167Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,16,small_area_45_80,,2026-07-21,אשקלון,מתחם מ-7,דרך ארץ 12,,3.0,80.0,,,15.0,דירה בבית קומות,,,11254.0,,,,"{""dedupeKey"": ""1199-66-25:2026-07-21:900318"", ""dealDate"": ""2026-07-21"", ""dealAmount"": ""900318"", ""pricePerSqm"": ""11254"", ""address"": ""דרך ארץ 12"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""מתחם מ-7"", ""rooms"": ""3"", ""buildingFloors"": ""15"", ""area"": ""80"", ""yearBuilt"": ""2029"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1199"", ""helka"": ""66"", ""tatHelka"": ""25"", ""parcelNum"": ""1199-66-25"", ""scrapedAt"": ""2026-09-05T16:18:44.168Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,17,small_area_45_80,,2026-07-21,אשקלון,,נחלה 7,,3.0,80.0,,,10.0,דירה בבית קומות,,,21000.0,,,,"{""dedupeKey"": ""1200-72-43:2026-07-21:1680000"", ""dealDate"": ""2026-07-21"", ""dealAmount"": ""1680000"", ""pricePerSqm"": ""21000"", ""address"": ""נחלה 7"", ""cityName"": ""אשקלון"", ""rooms"": ""3"", ""buildingFloors"": ""10"", ""area"": ""80"", ""yearBuilt"": ""2027"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1200"", ""helka"": ""72"", ""tatHelka"": ""43"", ""parcelNum"": ""1200-72-43"", ""scrapedAt"": ""2026-09-05T16:18:44.168Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,19,small_area_45_80,,2026-07-20,אשקלון,אזור תעשיה צפוני,ניר עוז 14,,3.0,78.0,,,,דירה בבית קומות,,,20859.0,,,,"{""dedupeKey"": ""1196-79-27:2026-07-20:1626980"", ""dealDate"": ""2026-07-20"", ""dealAmount"": ""1626980"", ""pricePerSqm"": ""20859"", ""address"": ""ניר עוז 14"", ""cityName"": ""אשקלון"", ""neighborhoodName"": ""אזור תעשיה צפוני"", ""rooms"": ""3"", ""area"": ""78"", ""yearBuilt"": ""2026"", ""propertyType"": ""דירה בבית קומות"", ""gush"": ""1196"", ""helka"": ""79"", ""tatHelka"": ""27"", ""parcelNum"": ""1196-79-27"", ""scrapedAt"": ""2026-09-05T16:18:44.168Z""}"
