source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1037,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,255.2,94.6,9.0,,triplex,,,,,,,,,,,,טריפלקס,"{""unit_number"": ""36"", ""floor"": ""9-11"", ""rooms"": ""6.0"", ""internal_area"": ""255.2"", ""balcony_area"": ""94.6"", ""orientation"": ""מזרח"", ""unit_type"": ""triplex"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1038,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,73.4,12.0,9.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""37"", ""floor"": ""9"", ""unit_number"": ""36"", ""rooms"": ""6.0"", ""internal_area"": ""73.4"", ""balcony_area"": ""12.0"", ""orientation"": ""מזרח"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1039,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,78.5,20.0,10.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""41"", ""floor"": ""10"", ""unit_number"": ""36"", ""rooms"": ""6.0"", ""internal_area"": ""78.5"", ""balcony_area"": ""20.0"", ""orientation"": ""מזרח"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1040,,,,6_room | 6_room_triplex | special_property_type,triplex,,,,,,6.0,103.3,62.6,11.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""45"", ""floor"": ""11"", ""unit_number"": ""36"", ""rooms"": ""6.0"", ""internal_area"": ""103.3"", ""balcony_area"": ""62.6"", ""orientation"": ""מזרח"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1041,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,255.2,,,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""47"", ""floor"": ""סה\""כ"", ""unit_number"": ""36"", ""rooms"": ""6.0"", ""internal_area"": ""255.2"", ""orientation"": ""מזרח"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1055,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,260.1,97.4,9.0,,triplex,,,,,,,,,,,,טריפלקס,"{""unit_number"": ""37"", ""floor"": ""9-11"", ""rooms"": ""6.0"", ""internal_area"": ""260.1"", ""balcony_area"": ""97.4"", ""orientation"": ""מערב"", ""unit_type"": ""triplex"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1056,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,73.7,12.0,9.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""38"", ""floor"": ""9"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""73.7"", ""balcony_area"": ""12.0"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1057,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,77.5,20.0,10.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""42"", ""floor"": ""10"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""77.5"", ""balcony_area"": ""20.0"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1058,,,,6_room | 6_room_triplex | special_property_type,triplex,,,,,,6.0,108.9,65.4,11.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""46"", ""floor"": ""11"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""108.9"", ""balcony_area"": ""65.4"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1059,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,260.1,,,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""48"", ""floor"": ""סה\""כ"", ""unit_number"": ""37"", ""rooms"": ""6.0"", ""internal_area"": ""260.1"", ""orientation"": ""מערב"", ""notes"": ""טריפלקס""}"
