source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,50,current_asking,madlan_listing,OCPLtoxK4L1,small_area_45_80,,2026-08-01,,כוכב הצפון,"הרב כהנא 8, אשקלון",,3.0,70.0,,3.0,,standard_apartment,,1099999.0,15714.271428571428,,,,,,,31.670236732914102,34.588981618462924,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""OCPLtoxK4L1"", ""source_url"": ""https://www.madlan.co.il/listings/OCPLtoxK4L1"", ""price"": ""1099999.0"", ""rooms"": ""3.0"", ""area"": ""70.0"", ""floor"": ""3"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.670236732914102"", ""longitude"": ""34.588981618462924"", ""event_date"": ""2026-08-01"", ""neighborhood"": ""כוכב הצפון"", ""address"": ""הרב כהנא 8, אשקלון"", ""distance_m"": ""1619.9"", ""area_difference_pct"": ""0.0145"", ""floor_difference"": ""1.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,51,current_asking,madlan_listing,CqokJD8JOmq,small_area_45_80,,2026-05-21,,גני ברנע,"מונטיפיורי 18, אשקלון",,3.0,70.0,,4.0,,standard_apartment,,1100000.0,15714.285714285714,,,,,,,31.680894475,34.576972350000005,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""CqokJD8JOmq"", ""source_url"": ""https://www.madlan.co.il/listings/CqokJD8JOmq"", ""price"": ""1100000.0"", ""rooms"": ""3.0"", ""area"": ""70.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.680894475"", ""longitude"": ""34.576972350000005"", ""event_date"": ""2026-05-21"", ""neighborhood"": ""גני ברנע"", ""address"": ""מונטיפיורי 18, אשקלון"", ""distance_m"": ""1634.6"", ""area_difference_pct"": ""0.0145"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,52,current_asking,madlan_listing,Cbj8cwS0wQr,small_area_45_80,,2026-07-08,,גני ברנע,"מעלות אשר 25, אשקלון",,3.0,80.0,,7.0,,standard_apartment,,1630000.0,20375.0,,,,,,,31.6775469,34.5770431,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""Cbj8cwS0wQr"", ""source_url"": ""https://www.madlan.co.il/listings/Cbj8cwS0wQr"", ""price"": ""1630000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""7"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.6775469"", ""longitude"": ""34.5770431"", ""event_date"": ""2026-07-08"", ""neighborhood"": ""גני ברנע"", ""address"": ""מעלות אשר 25, אשקלון"", ""distance_m"": ""1750.5"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""3.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,53,current_asking,madlan_listing,jywNIQMfnAZ,small_area_45_80,,2026-05-21,,נווה הדרים,"העונות 6, אשקלון",,3.0,70.0,,10.0,,standard_apartment,,1350000.0,19285.714285714286,,,,,,,31.670435300060163,34.57561875501271,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""jywNIQMfnAZ"", ""source_url"": ""https://www.madlan.co.il/listings/jywNIQMfnAZ"", ""price"": ""1350000.0"", ""rooms"": ""3.0"", ""area"": ""70.0"", ""floor"": ""10"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.670435300060163"", ""longitude"": ""34.57561875501271"", ""event_date"": ""2026-05-21"", ""neighborhood"": ""נווה הדרים"", ""address"": ""העונות 6, אשקלון"", ""distance_m"": ""2303.9"", ""area_difference_pct"": ""0.0145"", ""floor_difference"": ""6.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,54,current_asking,madlan_listing,D6vBZcPULJU,small_area_45_80,,2026-08-25,,נווה אילן,"הפלמ""ח 12, אשקלון",,3.0,77.0,,5.0,,standard_apartment,,1320000.0,17142.85714285714,,,,,,,31.66399682222222,34.58370503333333,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""D6vBZcPULJU"", ""source_url"": ""https://www.madlan.co.il/listings/D6vBZcPULJU"", ""price"": ""1320000.0"", ""rooms"": ""3.0"", ""area"": ""77.0"", ""floor"": ""5"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.66399682222222"", ""longitude"": ""34.58370503333333"", ""event_date"": ""2026-08-25"", ""neighborhood"": ""נווה אילן"", ""address"": ""הפלמ\""ח 12, אשקלון"", ""distance_m"": ""2442.8"", ""area_difference_pct"": ""0.1159"", ""floor_difference"": ""1.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,58,current_asking,madlan_listing,8i58vSWbfsQ,small_area_45_80,,2026-07-07,,נאות אשקלון,"האריה 12, אשקלון",,3.0,76.0,,7.0,,standard_apartment,,1100000.0,14473.684210526315,,,,,,,31.66356125,34.577382275,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""8i58vSWbfsQ"", ""source_url"": ""https://www.madlan.co.il/listings/8i58vSWbfsQ"", ""price"": ""1100000.0"", ""rooms"": ""3.0"", ""area"": ""76.0"", ""floor"": ""7"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.66356125"", ""longitude"": ""34.577382275"", ""event_date"": ""2026-07-07"", ""neighborhood"": ""נאות אשקלון"", ""address"": ""האריה 12, אשקלון"", ""distance_m"": ""2772.9"", ""area_difference_pct"": ""0.1014"", ""floor_difference"": ""3.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,59,current_asking,madlan_listing,lymiohoUUWv,small_area_45_80,,2026-06-02,,מרינה,"יפה נוף 42, אשקלון",,3.0,60.0,,4.0,,standard_apartment,,1226000.0,20433.333333333332,,,,,,,31.6835656,34.5613485,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""lymiohoUUWv"", ""source_url"": ""https://www.madlan.co.il/listings/lymiohoUUWv"", ""price"": ""1226000.0"", ""rooms"": ""3.0"", ""area"": ""60.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.6835656"", ""longitude"": ""34.5613485"", ""event_date"": ""2026-06-02"", ""neighborhood"": ""מרינה"", ""address"": ""יפה נוף 42, אשקלון"", ""distance_m"": ""3071.5"", ""area_difference_pct"": ""0.1304"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,60,current_asking,madlan_listing,KFZHM2txobL,small_area_45_80,,2026-08-03,,אפרידר,"השייטת 1, אשקלון",,3.0,70.0,,6.0,,standard_apartment,,1500000.0,21428.571428571428,,,,,,,31.675471,34.560509,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""KFZHM2txobL"", ""source_url"": ""https://www.madlan.co.il/listings/KFZHM2txobL"", ""price"": ""1500000.0"", ""rooms"": ""3.0"", ""area"": ""70.0"", ""floor"": ""6"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.675471"", ""longitude"": ""34.560509"", ""event_date"": ""2026-08-03"", ""neighborhood"": ""אפרידר"", ""address"": ""השייטת 1, אשקלון"", ""distance_m"": ""3296.9"", ""area_difference_pct"": ""0.0145"", ""floor_difference"": ""2.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,61,current_asking,madlan_listing,SaRNAom2CKX,small_area_45_80,,2026-07-24,,מרינה,"יפה נוף 29, אשקלון",,3.0,60.0,,6.0,,standard_apartment,,1625000.0,27083.333333333332,,,,,,,31.6813996,34.5587901,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""SaRNAom2CKX"", ""source_url"": ""https://www.madlan.co.il/listings/SaRNAom2CKX"", ""price"": ""1625000.0"", ""rooms"": ""3.0"", ""area"": ""60.0"", ""floor"": ""6"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.6813996"", ""longitude"": ""34.5587901"", ""event_date"": ""2026-07-24"", ""neighborhood"": ""מרינה"", ""address"": ""יפה נוף 29, אשקלון"", ""distance_m"": ""3327.5"", ""area_difference_pct"": ""0.1304"", ""floor_difference"": ""2.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
asking,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,62,current_asking,madlan_listing,dCPWfS5f2B6,small_area_45_80,,2026-07-07,,,"אשקלון 1, אשקלון",,3.0,70.0,,4.0,,standard_apartment,,1150000.0,16428.571428571428,,,,,,,31.664300194149185,34.56582865158464,,"{""lane"": ""current_asking"", ""source"": ""madlan_listing"", ""source_id"": ""dCPWfS5f2B6"", ""source_url"": ""https://www.madlan.co.il/listings/dCPWfS5f2B6"", ""price"": ""1150000.0"", ""rooms"": ""3.0"", ""area"": ""70.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.664300194149185"", ""longitude"": ""34.56582865158464"", ""event_date"": ""2026-07-07"", ""address"": ""אשקלון 1, אשקלון"", ""distance_m"": ""3451.2"", ""area_difference_pct"": ""0.0145"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
