source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,8,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,70.8,100.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""1"", ""floor"": ""קרקע"", ""rooms"": ""3.0"", ""internal_area"": ""70.8"", ""balcony_area"": ""100.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,9,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,70.8,100.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""2"", ""floor"": ""קרקע"", ""unit_number"": ""1"", ""rooms"": ""3.0"", ""internal_area"": ""70.8"", ""balcony_area"": ""100.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,23,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,65.6,69.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""2"", ""floor"": ""קרקע"", ""rooms"": ""3.0"", ""internal_area"": ""65.6"", ""balcony_area"": ""69.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,24,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,65.6,69.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""3"", ""floor"": ""קרקע"", ""unit_number"": ""2"", ""rooms"": ""3.0"", ""internal_area"": ""65.6"", ""balcony_area"": ""69.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,38,,,,2_room | 2_room_garden | small_area_45_80 | special_property_type,garden,,,,,,2.0,57.0,18.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""3"", ""floor"": ""קרקע"", ""rooms"": ""2.0"", ""internal_area"": ""57.0"", ""balcony_area"": ""18.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,39,,,,2_room | 2_room_garden | small_area_45_80 | special_property_type,garden,,,,,,2.0,57.0,18.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""4"", ""floor"": ""קרקע"", ""unit_number"": ""3"", ""rooms"": ""2.0"", ""internal_area"": ""57.0"", ""balcony_area"": ""18.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,135,,,11083544280,special_property_type,garden,2023-06-01,אשקלון,האגמים,עין עברונה 9,,4.0,101.0,,0.0,,דירת גן,,1950000.0,19307.0,,,2882,5,8,2882-5,31.647303165578975,34.56144928493107,,"{""source_index"": ""67"", ""deal_date"": ""2023-06-01"", ""deal_amount"": ""1950000.0"", ""price_per_sqm"": ""19307.0"", ""address"": ""עין עברונה 9"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""101.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""5"", ""tat_helka"": ""8"", ""asset_id"": ""11083544280"", ""latitude"": ""31.647303165578975"", ""longitude"": ""34.56144928493107"", ""scraped_at"": ""2026-09-04T18:19:03.519Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,137,,,11012682420,small_area_45_80 | special_property_type,garden,2022-11-24,אשקלון,האגמים,עין עברונה 9,,3.0,80.0,,0.0,,דירת גן,,1780000.0,22250.0,,,2882,5,7,2882-5,31.647303165578975,34.56144928493107,,"{""source_index"": ""68"", ""deal_date"": ""2022-11-24"", ""deal_amount"": ""1780000.0"", ""price_per_sqm"": ""22250.0"", ""address"": ""עין עברונה 9"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""3.0"", ""floor"": ""0"", ""area"": ""80.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""5"", ""tat_helka"": ""7"", ""asset_id"": ""11012682420"", ""latitude"": ""31.647303165578975"", ""longitude"": ""34.56144928493107"", ""scraped_at"": ""2026-09-04T18:19:03.519Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,191,,,11352888450,special_property_type,garden,2026-05-25,אשקלון,גולדה,התקווה 5,,4.0,89.0,,0.0,,דירת גן,,1600000.0,17978.0,,,2843,35,1,2843-35,31.64776225342972,34.55617216227605,,"{""source_index"": ""95"", ""deal_date"": ""2026-05-25"", ""deal_amount"": ""1600000.0"", ""price_per_sqm"": ""17978.0"", ""address"": ""התקווה 5"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""89.0"", ""property_type"": ""דירת גן"", ""gush"": ""2843"", ""helka"": ""35"", ""tat_helka"": ""1"", ""asset_id"": ""11352888450"", ""latitude"": ""31.64776225342972"", ""longitude"": ""34.55617216227605"", ""scraped_at"": ""2026-09-04T18:19:04.710Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,195,,,11079377280,special_property_type,garden,2023-04-24,אשקלון,גולדה,התקווה 5,,4.0,90.0,,0.0,,דירת גן,,1650000.0,18333.0,,,2843,35,4,2843-35,31.64776225342972,34.55617216227605,,"{""source_index"": ""97"", ""deal_date"": ""2023-04-24"", ""deal_amount"": ""1650000.0"", ""price_per_sqm"": ""18333.0"", ""address"": ""התקווה 5"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""90.0"", ""property_type"": ""דירת גן"", ""gush"": ""2843"", ""helka"": ""35"", ""tat_helka"": ""4"", ""asset_id"": ""11079377280"", ""latitude"": ""31.64776225342972"", ""longitude"": ""34.55617216227605"", ""scraped_at"": ""2026-09-04T18:19:04.710Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,215,,,11349159570,special_property_type,garden,2026-04-20,אשקלון,האגמים,עמק חפר 77,,4.0,105.0,,0.0,,דירת גן,,2400000.0,22857.0,,,2884,12,33,2884-12,31.646376878134234,34.56919336410422,,"{""source_index"": ""107"", ""deal_date"": ""2026-04-20"", ""deal_amount"": ""2400000.0"", ""price_per_sqm"": ""22857.0"", ""address"": ""עמק חפר 77"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""105.0"", ""property_type"": ""דירת גן"", ""gush"": ""2884"", ""helka"": ""12"", ""tat_helka"": ""33"", ""asset_id"": ""11349159570"", ""latitude"": ""31.646376878134234"", ""longitude"": ""34.56919336410422"", ""scraped_at"": ""2026-09-04T18:19:04.712Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,221,,,11344236030,special_property_type,garden,2026-02-10,אשקלון,האגמים,עמק חפר 11,,4.0,88.0,,0.0,,דירת גן,,2200000.0,25000.0,,,2882,9,21,2882-9,31.64667239461572,34.560254109325975,,"{""source_index"": ""110"", ""deal_date"": ""2026-02-10"", ""deal_amount"": ""2200000.0"", ""price_per_sqm"": ""25000.0"", ""address"": ""עמק חפר 11"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""88.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""9"", ""tat_helka"": ""21"", ""asset_id"": ""11344236030"", ""latitude"": ""31.64667239461572"", ""longitude"": ""34.560254109325975"", ""scraped_at"": ""2026-09-04T18:19:04.713Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,223,,,11343357720,special_property_type,garden,2026-02-03,אשקלון,האגמים,עמק חפר 9,,4.0,89.0,,0.0,,דירת גן,,2050000.0,23034.0,,,2882,9,31,2882-9,31.64653428008991,34.56007902803918,,"{""source_index"": ""111"", ""deal_date"": ""2026-02-03"", ""deal_amount"": ""2050000.0"", ""price_per_sqm"": ""23034.0"", ""address"": ""עמק חפר 9"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""89.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""9"", ""tat_helka"": ""31"", ""asset_id"": ""11343357720"", ""latitude"": ""31.64653428008991"", ""longitude"": ""34.56007902803918"", ""scraped_at"": ""2026-09-04T18:19:04.713Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,251,,,11347636860,special_property_type,garden,2026-03-18,אשקלון,האגמים,נחל תנינים 6,,4.0,100.0,,0.0,,דירת גן,,2234000.0,22340.0,,,2882,12,31,2882-12,31.645545576732587,34.560036213538396,,"{""source_index"": ""125"", ""deal_date"": ""2026-03-18"", ""deal_amount"": ""2234000.0"", ""price_per_sqm"": ""22340.0"", ""address"": ""נחל תנינים 6"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""4.0"", ""floor"": ""0"", ""area"": ""100.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""12"", ""tat_helka"": ""31"", ""asset_id"": ""11347636860"", ""latitude"": ""31.645545576732587"", ""longitude"": ""34.560036213538396"", ""scraped_at"": ""2026-09-04T18:19:04.718Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,281,,,10993404870,special_property_type,garden,2022-05-03,אשקלון,האגמים,נחל תנינים 14,,5.0,120.0,,1.0,,דירת גן,,2750000.0,22917.0,,,2882,13,45,2882-13,31.64544083741309,34.56148871568723,,"{""source_index"": ""140"", ""deal_date"": ""2022-05-03"", ""deal_amount"": ""2750000.0"", ""price_per_sqm"": ""22917.0"", ""address"": ""נחל תנינים 14"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""5.0"", ""floor"": ""1"", ""area"": ""120.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""13"", ""tat_helka"": ""45"", ""asset_id"": ""10993404870"", ""latitude"": ""31.64544083741309"", ""longitude"": ""34.56148871568723"", ""scraped_at"": ""2026-09-04T18:19:04.718Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,297,,,11265720480,special_property_type,garden,2025-06-08,אשקלון,האגמים,עמק חפר 19,,5.0,127.0,,0.0,,דירת גן,,2400000.0,18898.0,,,2882,10,12,2882-10,31.64673062205135,34.56188709728447,,"{""source_index"": ""149"", ""deal_date"": ""2025-06-08"", ""deal_amount"": ""2400000.0"", ""price_per_sqm"": ""18898.0"", ""address"": ""עמק חפר 19"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""5.0"", ""floor"": ""0"", ""area"": ""127.0"", ""property_type"": ""דירת גן"", ""gush"": ""2882"", ""helka"": ""10"", ""tat_helka"": ""12"", ""asset_id"": ""11265720480"", ""latitude"": ""31.64673062205135"", ""longitude"": ""34.56188709728447"", ""scraped_at"": ""2026-09-04T18:19:04.852Z""}"
