source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1073,,,,7_plus_duplex | 7_plus_room | large_area_140_195 | special_property_type,duplex,,,,,,7.0,170.1,39.6,9.0,,duplex,,,,,,,,,,,,דופלקס,"{""unit_number"": ""38"", ""floor"": ""9-10"", ""rooms"": ""7.0"", ""internal_area"": ""170.1"", ""balcony_area"": ""39.6"", ""orientation"": ""מערב"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1076,,,,7_plus_duplex | 7_plus_room | large_area_140_195 | special_property_type,duplex,,,,,,7.0,170.1,,,,,,,,,,,,,,,,דופלקס,"{""excel_row"": ""49"", ""floor"": ""סה\""כ"", ""unit_number"": ""38"", ""rooms"": ""7.0"", ""internal_area"": ""170.1"", ""orientation"": ""מערב"", ""notes"": ""דופלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1090,,,,large_area_140_195 | special_property_type,duplex,,,,,,5.0,158.6,39.6,9.0,,duplex,,,,,,,,,,,,דופלקס,"{""unit_number"": ""39"", ""floor"": ""9-10"", ""rooms"": ""5.0"", ""internal_area"": ""158.6"", ""balcony_area"": ""39.6"", ""unit_type"": ""duplex"", ""notes"": ""דופלקס""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,131,,,10915309440,large_area_140_195,,2021-10-04,אשקלון,גולדה,עולי הגרדום 19,,5.0,140.0,,,,דירה בבית קומות,,1635000.0,11679.0,,,2843,34,1,2843-34,31.647863055879995,34.55544718968453,,"{""source_index"": ""65"", ""deal_date"": ""2021-10-04"", ""deal_amount"": ""1635000.0"", ""price_per_sqm"": ""11679.0"", ""address"": ""עולי הגרדום 19"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""5.0"", ""floor"": ""קרקע ראשונה ושניה"", ""area"": ""140.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2843"", ""helka"": ""34"", ""tat_helka"": ""1"", ""asset_id"": ""10915309440"", ""latitude"": ""31.647863055879995"", ""longitude"": ""34.55544718968453"", ""scraped_at"": ""2026-09-04T18:19:03.328Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,133,,,11175019650,large_area_140_195,,2024-07-11,אשקלון,האגמים,עין עברונה 9,,5.0,146.0,,,,דירה בבית קומות,,2145000.0,14692.0,,,2882,5,14,2882-5,31.647303165578975,34.56144928493107,,"{""source_index"": ""66"", ""deal_date"": ""2024-07-11"", ""deal_amount"": ""2145000.0"", ""price_per_sqm"": ""14692.0"", ""address"": ""עין עברונה 9"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""5.0"", ""floor"": ""שניה, שלישית"", ""area"": ""146.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2882"", ""helka"": ""5"", ""tat_helka"": ""14"", ""asset_id"": ""11175019650"", ""latitude"": ""31.647303165578975"", ""longitude"": ""34.56144928493107"", ""scraped_at"": ""2026-09-04T18:19:03.519Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,199,,,11340050490,large_area_140_195,,2025-12-08,אשקלון,גולדה,התקווה 1,,5.0,145.0,,,,דירה בבית קומות,,2070000.0,14276.0,,,2843,44,6,2843-44,31.6491533958462,34.555343723058236,,"{""source_index"": ""99"", ""deal_date"": ""2025-12-08"", ""deal_amount"": ""2070000.0"", ""price_per_sqm"": ""14276.0"", ""address"": ""התקווה 1"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""5.0"", ""area"": ""145.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2843"", ""helka"": ""44"", ""tat_helka"": ""6"", ""asset_id"": ""11340050490"", ""latitude"": ""31.6491533958462"", ""longitude"": ""34.555343723058236"", ""scraped_at"": ""2026-09-04T18:19:04.710Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,207,,,11070108720,large_area_140_195,,2022-12-28,אשקלון,גולדה,התקווה 1,,5.0,145.0,,1.0,,דירה בבית קומות,,1900000.0,13103.0,,,2843,44,4,2843-44,31.6491533958462,34.555343723058236,,"{""source_index"": ""103"", ""deal_date"": ""2022-12-28"", ""deal_amount"": ""1900000.0"", ""price_per_sqm"": ""13103.0"", ""address"": ""התקווה 1"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""5.0"", ""floor"": ""1"", ""area"": ""145.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2843"", ""helka"": ""44"", ""tat_helka"": ""4"", ""asset_id"": ""11070108720"", ""latitude"": ""31.6491533958462"", ""longitude"": ""34.555343723058236"", ""scraped_at"": ""2026-09-04T18:19:04.710Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,209,,,11070826650,large_area_140_195,,2022-12-12,אשקלון,גולדה,התקווה 3,,5.0,164.0,,1.0,,קוטג' דו משפחתי,,1650000.0,10061.0,,,2843,39,3,2843-39,31.64845093029257,34.555785329784264,,"{""source_index"": ""104"", ""deal_date"": ""2022-12-12"", ""deal_amount"": ""1650000.0"", ""price_per_sqm"": ""10061.0"", ""address"": ""התקווה 3"", ""city"": ""אשקלון"", ""neighborhood"": ""גולדה"", ""rooms"": ""5.0"", ""floor"": ""1"", ""area"": ""164.0"", ""property_type"": ""קוטג' דו משפחתי"", ""gush"": ""2843"", ""helka"": ""39"", ""tat_helka"": ""3"", ""asset_id"": ""11070826650"", ""latitude"": ""31.64845093029257"", ""longitude"": ""34.555785329784264"", ""scraped_at"": ""2026-09-04T18:19:04.710Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,227,,,11341802070,large_area_140_195,,2026-01-19,אשקלון,האגמים,עמק חפר 33,,5.0,162.0,,5.0,,דירה בבית קומות,,3030000.0,18704.0,,,2883,15,38,2883-15,31.64809397574784,34.56407133896185,,"{""source_index"": ""113"", ""deal_date"": ""2026-01-19"", ""deal_amount"": ""3030000.0"", ""price_per_sqm"": ""18704.0"", ""address"": ""עמק חפר 33"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""5.0"", ""floor"": ""5"", ""area"": ""162.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2883"", ""helka"": ""15"", ""tat_helka"": ""38"", ""asset_id"": ""11341802070"", ""latitude"": ""31.64809397574784"", ""longitude"": ""34.56407133896185"", ""scraped_at"": ""2026-09-04T18:19:04.713Z""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,319,,,11173691250,large_area_140_195,,2024-06-13,אשקלון,האגמים,עמק חפר 17,,5.0,182.0,,,,דירה בבית קומות,,2150000.0,11813.0,,,2882,10,10,2882-10,31.64673062205135,34.56188709728447,,"{""source_index"": ""160"", ""deal_date"": ""2024-06-13"", ""deal_amount"": ""2150000.0"", ""price_per_sqm"": ""11813.0"", ""address"": ""עמק חפר 17"", ""city"": ""אשקלון"", ""neighborhood"": ""האגמים"", ""rooms"": ""5.0"", ""floor"": ""רביעית, חמישית"", ""area"": ""182.0"", ""property_type"": ""דירה בבית קומות"", ""gush"": ""2882"", ""helka"": ""10"", ""tat_helka"": ""10"", ""asset_id"": ""11173691250"", ""latitude"": ""31.64673062205135"", ""longitude"": ""34.56188709728447"", ""scraped_at"": ""2026-09-04T18:19:04.921Z""}"
