file,records_inspected,property_records,candidate_records,sold_candidates,asking_candidates,new_project_candidates,subject_inventory_candidates,unknown_candidates
C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,93,85,48,18,29,0,0,1
C:\Users\AVIV\gaba\gabay_pricing_core\consistency_engineering_demo.json,4,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\five_room_program_overlap_parcels.json,31,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\petah_tikva_center_program_parcels_v1.json,372,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\petah_tikva_sold_audit_v1.json,35,21,11,11,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\petah_tikva_sold_scope_audit_v2.json,558,80,31,31,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\three_room_program_overlap_parcels.json,124,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\data\diagnostics\three_room_verified_demo_scope_v1.json,1,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\family_decision_engineering_demo.json,277,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\historical_validation_diagnostics.json,31,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\historical_validation_report.json,65,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\inventory_source_rows.json,0,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\market_range_demo_special36.json,11,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\market_range_demo_unit17.json,28,3,1,0,0,0,0,1
C:\Users\AVIV\gaba\gabay_pricing_core\modern_3room_parcel_regime_scan.json,33,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run.json,1120,215,71,0,0,0,71,0
C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1104,135,71,0,0,0,0,71
C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_primary_usable.json,566,283,85,85,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_qa_summary.json,3,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_rejected.json,0,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\qa_output_ashkelon\sold_review.json,188,94,22,22,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\2_room_candidates.csv,1,1,1,0,0,0,0,1
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\6_room_candidates.csv,8,8,8,0,0,0,0,8
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\7_plus_candidates.csv,3,3,3,0,0,0,0,3
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\all_special_candidates.csv,773,773,773,0,0,0,0,773
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\asking_candidates.csv,0,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\coverage_summary.csv,14,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\duplex_candidates.csv,6,6,6,0,0,0,0,6
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\file_summary.csv,6,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\garden_candidates.csv,19,19,19,0,0,0,0,19
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\government_program_candidates.csv,0,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\large_140_195.csv,21,21,21,0,0,0,0,21
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\new_project_candidates.csv,18,18,18,0,0,0,0,18
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\penthouse_candidates.csv,0,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\sold_candidates.csv,606,606,606,606,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\triplex_candidates.csv,8,8,8,0,0,0,0,8
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\unknown_candidates.csv,149,149,149,0,0,0,0,149
C:\Users\AVIV\gaba\gabay_pricing_core\special_unit_data_audit\very_large_210_310.csv,2,2,2,0,0,0,0,2
C:\Users\AVIV\gaba\gabay_pricing_core\strategy_scenario_engineering_demo.json,332,0,0,0,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\tax_enriched_ashkelon_3room_36m.json,1130,975,743,743,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\tax_enrichment_diagnostics.json,133,63,2,2,0,0,0,0
C:\Users\AVIV\gaba\gabay_pricing_core\tax_enrichment_match_demo.json,13,0,0,0,0,0,0,0
