source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,8,sold,govmap_via_nadlan_deals,11356430310,small_area_45_80,,2026-07-21,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1680000.0,21000.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11356430310"", ""price"": ""1680000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""9"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-07-21"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""5.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,9,sold,govmap_via_nadlan_deals,11356029900,small_area_45_80,,2026-06-30,,,נחלה 7,,3.0,80.0,,2.0,,standard_apartment,,1680000.0,21000.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11356029900"", ""price"": ""1680000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""2"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-06-30"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""2.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,10,sold,govmap_via_nadlan_deals,11349838890,small_area_45_80,,2026-05-06,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1750000.0,21875.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11349838890"", ""price"": ""1750000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""9"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-05-06"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""5.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,11,sold,govmap_via_nadlan_deals,11349281340,small_area_45_80,,2026-04-29,,,נחלה 7,,3.0,80.0,,10.0,,standard_apartment,,1750000.0,21875.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11349281340"", ""price"": ""1750000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""10"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2026-04-29"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""6.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,12,sold,govmap_via_nadlan_deals,11267742330,small_area_45_80,,2025-06-08,,,נחלה 7,,3.0,80.0,,7.0,,standard_apartment,,1720000.0,21500.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11267742330"", ""price"": ""1720000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""7"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-06-08"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""3.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,13,sold,govmap_via_nadlan_deals,11263160970,small_area_45_80,,2025-05-04,,,נחלה 7,,3.0,80.0,,8.0,,standard_apartment,,1750000.0,21875.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11263160970"", ""price"": ""1750000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""8"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-05-04"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""4.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,14,sold,govmap_via_nadlan_deals,11263118670,small_area_45_80,,2025-04-24,,,נחלה 7,,3.0,80.0,,12.0,,standard_apartment,,1826000.0,22825.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11263118670"", ""price"": ""1826000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""12"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-04-24"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""8.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,15,sold,govmap_via_nadlan_deals,11260093590,small_area_45_80,,2025-03-25,,,נחלה 7,,3.0,80.0,,4.0,,standard_apartment,,1755000.0,21937.5,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11260093590"", ""price"": ""1755000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""4"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-03-25"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""0.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,16,sold,govmap_via_nadlan_deals,11263142430,small_area_45_80,,2025-01-23,,,נחלה 7,,3.0,80.0,,9.0,,standard_apartment,,1750000.0,21875.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11263142430"", ""price"": ""1750000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""9"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-01-23"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""5.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
sold,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,17,sold,govmap_via_nadlan_deals,11252756430,small_area_45_80,,2025-01-09,,,נחלה 7,,3.0,80.0,,2.0,,standard_apartment,,1700000.0,21250.0,,,,,,,31.67669796087469,34.59060699815149,,"{""lane"": ""sold"", ""source"": ""govmap_via_nadlan_deals"", ""source_id"": ""11252756430"", ""price"": ""1700000.0"", ""rooms"": ""3.0"", ""area"": ""80.0"", ""floor"": ""2"", ""property_type"": ""standard_apartment"", ""latitude"": ""31.67669796087469"", ""longitude"": ""34.59060699815149"", ""event_date"": ""2025-01-09"", ""address"": ""נחלה 7"", ""distance_m"": ""888.9"", ""area_difference_pct"": ""0.1594"", ""floor_difference"": ""2.0"", ""quality_status"": ""usable"", ""reasons"": ""[]""}"
