source_class,file,record_index,lane_raw,source_raw,source_id,targets,special_types,date,city,neighborhood,address,street,rooms,area_sqm,outdoor_area_sqm,floor,total_floors,property_type,deal_type,price,price_per_sqm,parking,storage,gush,helka,tat_helka,parcel_key,latitude,longitude,description,raw_preview
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\comparable_demo_unit17.json,1,,,,small_area_45_80,,,,,,,3.0,69.0,12.0,4.0,,standard_apartment,,,,,,,,,,,,,"{""unit_number"": ""17"", ""floor"": ""4"", ""rooms"": ""3"", ""internal_area"": ""69"", ""balcony_area"": ""12"", ""orientation"": ""מזרח"", ""unit_type"": ""standard_apartment""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,8,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,70.8,100.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""1"", ""floor"": ""קרקע"", ""rooms"": ""3.0"", ""internal_area"": ""70.8"", ""balcony_area"": ""100.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,9,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,70.8,100.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""2"", ""floor"": ""קרקע"", ""unit_number"": ""1"", ""rooms"": ""3.0"", ""internal_area"": ""70.8"", ""balcony_area"": ""100.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,23,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,65.6,69.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""2"", ""floor"": ""קרקע"", ""rooms"": ""3.0"", ""internal_area"": ""65.6"", ""balcony_area"": ""69.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,24,,,,small_area_45_80 | special_property_type,garden,,,,,,3.0,65.6,69.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""3"", ""floor"": ""קרקע"", ""unit_number"": ""2"", ""rooms"": ""3.0"", ""internal_area"": ""65.6"", ""balcony_area"": ""69.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,38,,,,2_room | 2_room_garden | small_area_45_80 | special_property_type,garden,,,,,,2.0,57.0,18.0,,,garden_apartment,,,,,,,,,,,,דירת גן,"{""unit_number"": ""3"", ""floor"": ""קרקע"", ""rooms"": ""2.0"", ""internal_area"": ""57.0"", ""balcony_area"": ""18.0"", ""orientation"": ""מזרח"", ""unit_type"": ""garden_apartment"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,39,,,,2_room | 2_room_garden | small_area_45_80 | special_property_type,garden,,,,,,2.0,57.0,18.0,,,,,,,,,,,,,,,דירת גן,"{""excel_row"": ""4"", ""floor"": ""קרקע"", ""unit_number"": ""3"", ""rooms"": ""2.0"", ""internal_area"": ""57.0"", ""balcony_area"": ""18.0"", ""orientation"": ""מזרח"", ""notes"": ""דירת גן""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,54,,,,small_area_45_80,,,,,,,3.0,69.0,12.0,1.0,,,,,,,,,,,,,,,"{""excel_row"": ""5"", ""floor"": ""1"", ""unit_number"": ""4"", ""rooms"": ""3.0"", ""internal_area"": ""69.0"", ""balcony_area"": ""12.0""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1037,,,,6_room | 6_room_triplex | special_property_type | very_large_area_210_310,triplex,,,,,,6.0,255.2,94.6,9.0,,triplex,,,,,,,,,,,,טריפלקס,"{""unit_number"": ""36"", ""floor"": ""9-11"", ""rooms"": ""6.0"", ""internal_area"": ""255.2"", ""balcony_area"": ""94.6"", ""orientation"": ""מזרח"", ""unit_type"": ""triplex"", ""notes"": ""טריפלקס""}"
unknown,C:\Users\AVIV\gaba\gabay_pricing_core\project_dry_run_with_5room.json,1038,,,,6_room | 6_room_triplex | small_area_45_80 | special_property_type,triplex,,,,,,6.0,73.4,12.0,9.0,,,,,,,,,,,,,,טריפלקס,"{""excel_row"": ""37"", ""floor"": ""9"", ""unit_number"": ""36"", ""rooms"": ""6.0"", ""internal_area"": ""73.4"", ""balcony_area"": ""12.0"", ""orientation"": ""מזרח"", ""notes"": ""טריפלקס""}"
